id,category,model,target_lang,target_lang_name,ko_text,translated_text,ko_chars,tr_chars,ko_tokens,tr_tokens,fertility,ko_chars_per_token,tr_chars_per_token,cost_per_1k_ko_chars_usd
2,medical,gemini-2.5-flash,en,English,혈당 수치가 높게 나왔습니다.,My blood sugar level was high.,16,30,9,7,0.7777777777777778,1.7777777777777777,4.285714285714286,8.4375e-05
2,medical,gpt-5.4-mini,es,Spanish,혈당 수치가 높게 나왔습니다.,Mi nivel de azúcar en sangre era alto.,16,38,11,9,0.8181818181818182,1.4545454545454546,4.222222222222222,0.000515625
2,medical,deepseek-chat,es,Spanish,혈당 수치가 높게 나왔습니다.,Mi nivel de azúcar en sangre era alto.,16,38,12,10,0.8333333333333334,1.3333333333333333,3.8,0.0002025
2,medical,gemini-2.5-flash,es,Spanish,혈당 수치가 높게 나왔습니다.,Mi nivel de azúcar en sangre era alto.,16,38,9,9,1.0,1.7777777777777777,4.222222222222222,8.4375e-05
2,medical,gpt-5.4-mini,zh-CN,Chinese,혈당 수치가 높게 나왔습니다.,我的血糖水平很高。,16,9,11,7,0.6363636363636364,1.4545454545454546,1.2857142857142858,0.000515625
2,medical,deepseek-chat,zh-CN,Chinese,혈당 수치가 높게 나왔습니다.,我的血糖水平很高。,16,9,12,5,0.4166666666666667,1.3333333333333333,1.8,0.0002025
2,medical,gemini-2.5-flash,zh-CN,Chinese,혈당 수치가 높게 나왔습니다.,我的血糖水平很高。,16,9,9,5,0.5555555555555556,1.7777777777777777,1.8,8.4375e-05
3,medical,gpt-5.4-mini,en,English,심전도 검사 결과가 이상 없습니다.,There are no abnormalities in the electrocardiogram test results.,19,65,9,13,1.4444444444444444,2.111111111111111,5.0,0.0003552631578947368
3,medical,deepseek-chat,en,English,심전도 검사 결과가 이상 없습니다.,There are no abnormalities in the electrocardiogram test results.,19,65,11,12,1.0909090909090908,1.7272727272727273,5.416666666666667,0.00015631578947368423
3,medical,gemini-2.5-flash,en,English,심전도 검사 결과가 이상 없습니다.,There are no abnormalities in the electrocardiogram test results.,19,65,10,11,1.1,1.9,5.909090909090909,7.894736842105262e-05
3,medical,gpt-5.4-mini,es,Spanish,심전도 검사 결과가 이상 없습니다.,No hay anomalías en los resultados de la prueba del electrocardiograma.,19,71,9,16,1.7777777777777777,2.111111111111111,4.4375,0.0003552631578947368
3,medical,deepseek-chat,es,Spanish,심전도 검사 결과가 이상 없습니다.,No hay anomalías en los resultados de la prueba del electrocardiograma.,19,71,11,16,1.4545454545454546,1.7272727272727273,4.4375,0.00015631578947368423
3,medical,gemini-2.5-flash,es,Spanish,심전도 검사 결과가 이상 없습니다.,No hay anomalías en los resultados de la prueba del electrocardiograma.,19,71,10,14,1.4,1.9,5.071428571428571,7.894736842105262e-05
3,medical,gpt-5.4-mini,zh-CN,Chinese,심전도 검사 결과가 이상 없습니다.,心电图检查结果无异常。,19,11,9,8,0.8888888888888888,2.111111111111111,1.375,0.0003552631578947368
3,medical,deepseek-chat,zh-CN,Chinese,심전도 검사 결과가 이상 없습니다.,心电图检查结果无异常。,19,11,11,6,0.5454545454545454,1.7272727272727273,1.8333333333333333,0.00015631578947368423
3,medical,gemini-2.5-flash,zh-CN,Chinese,심전도 검사 결과가 이상 없습니다.,心电图检查结果无异常。,19,11,10,8,0.8,1.9,1.375,7.894736842105262e-05
4,medical,gpt-5.4-mini,en,English,폐렴 진단을 받았습니다.,I was diagnosed with pneumonia.,13,31,8,6,0.75,1.625,5.166666666666667,0.0004615384615384616
4,medical,deepseek-chat,en,English,폐렴 진단을 받았습니다.,I was diagnosed with pneumonia.,13,31,11,6,0.5454545454545454,1.1818181818181819,5.166666666666667,0.0002284615384615385
4,medical,gemini-2.5-flash,en,English,폐렴 진단을 받았습니다.,I was diagnosed with pneumonia.,13,31,7,6,0.8571428571428571,1.8571428571428572,5.166666666666667,8.076923076923076e-05
4,medical,gpt-5.4-mini,es,Spanish,폐렴 진단을 받았습니다.,Me diagnosticaron neumonía.,13,27,8,7,0.875,1.625,3.857142857142857,0.0004615384615384616
4,medical,deepseek-chat,es,Spanish,폐렴 진단을 받았습니다.,Me diagnosticaron neumonía.,13,27,11,8,0.7272727272727273,1.1818181818181819,3.375,0.0002284615384615385
4,medical,gemini-2.5-flash,es,Spanish,폐렴 진단을 받았습니다.,Me diagnosticaron neumonía.,13,27,7,7,1.0,1.8571428571428572,3.857142857142857,8.076923076923076e-05
4,medical,gpt-5.4-mini,zh-CN,Chinese,폐렴 진단을 받았습니다.,我被诊断出患有肺炎。,13,10,8,10,1.25,1.625,1.0,0.0004615384615384616
4,medical,deepseek-chat,zh-CN,Chinese,폐렴 진단을 받았습니다.,我被诊断出患有肺炎。,13,10,11,6,0.5454545454545454,1.1818181818181819,1.6666666666666667,0.0002284615384615385
4,medical,gemini-2.5-flash,zh-CN,Chinese,폐렴 진단을 받았습니다.,我被诊断出患有肺炎。,13,10,7,8,1.1428571428571428,1.8571428571428572,1.25,8.076923076923076e-05
5,medical,gpt-5.4-mini,en,English,췌장염 증상이 나타나고 있습니다.,Symptoms of pancreatitis are appearing.,18,39,12,7,0.5833333333333334,1.5,5.571428571428571,0.0005
5,medical,deepseek-chat,en,English,췌장염 증상이 나타나고 있습니다.,Symptoms of pancreatitis are appearing.,18,39,13,6,0.46153846153846156,1.3846153846153846,6.5,0.000195
5,medical,gemini-2.5-flash,en,English,췌장염 증상이 나타나고 있습니다.,Symptoms of pancreatitis are appearing.,18,39,10,6,0.6,1.8,6.5,8.333333333333333e-05
5,medical,gpt-5.4-mini,es,Spanish,췌장염 증상이 나타나고 있습니다.,Están apareciendo síntomas de pancreatitis.,18,43,12,9,0.75,1.5,4.777777777777778,0.0005
5,medical,deepseek-chat,es,Spanish,췌장염 증상이 나타나고 있습니다.,Están apareciendo síntomas de pancreatitis.,18,43,13,8,0.6153846153846154,1.3846153846153846,5.375,0.000195
5,medical,gemini-2.5-flash,es,Spanish,췌장염 증상이 나타나고 있습니다.,Están apareciendo síntomas de pancreatitis.,18,43,10,8,0.8,1.8,5.375,8.333333333333333e-05
5,medical,gpt-5.4-mini,zh-CN,Chinese,췌장염 증상이 나타나고 있습니다.,胰腺炎的症状正在出现。,18,11,12,11,0.9166666666666666,1.5,1.0,0.0005
5,medical,deepseek-chat,zh-CN,Chinese,췌장염 증상이 나타나고 있습니다.,胰腺炎的症状正在出现。,18,11,13,6,0.46153846153846156,1.3846153846153846,1.8333333333333333,0.000195
5,medical,gemini-2.5-flash,zh-CN,Chinese,췌장염 증상이 나타나고 있습니다.,胰腺炎的症状正在出现。,18,11,10,8,0.8,1.8,1.375,8.333333333333333e-05
6,medical,gpt-5.4-mini,en,English,갑상선 기능 저하증을 확인했습니다.,Hypothyroidism was confirmed.,19,29,11,6,0.5454545454545454,1.7272727272727273,4.833333333333333,0.0004342105263157895
6,medical,deepseek-chat,en,English,갑상선 기능 저하증을 확인했습니다.,Hypothyroidism was confirmed.,19,29,12,5,0.4166666666666667,1.5833333333333333,5.8,0.0001705263157894737
6,medical,gemini-2.5-flash,en,English,갑상선 기능 저하증을 확인했습니다.,Hypothyroidism was confirmed.,19,29,11,5,0.45454545454545453,1.7272727272727273,5.8,8.684210526315788e-05
6,medical,gpt-5.4-mini,es,Spanish,갑상선 기능 저하증을 확인했습니다.,Se confirmó hipotiroidismo.,19,27,11,7,0.6363636363636364,1.7272727272727273,3.857142857142857,0.0004342105263157895
6,medical,deepseek-chat,es,Spanish,갑상선 기능 저하증을 확인했습니다.,Se confirmó hipotiroidismo.,19,27,12,8,0.6666666666666666,1.5833333333333333,3.375,0.0001705263157894737
6,medical,gemini-2.5-flash,es,Spanish,갑상선 기능 저하증을 확인했습니다.,Se confirmó hipotiroidismo.,19,27,11,7,0.6363636363636364,1.7272727272727273,3.857142857142857,8.684210526315788e-05
6,medical,gpt-5.4-mini,zh-CN,Chinese,갑상선 기능 저하증을 확인했습니다.,确诊为甲状腺功能减退症。,19,12,11,12,1.0909090909090908,1.7272727272727273,1.0,0.0004342105263157895
6,medical,deepseek-chat,zh-CN,Chinese,갑상선 기능 저하증을 확인했습니다.,确诊为甲状腺功能减退症。,19,12,12,7,0.5833333333333334,1.5833333333333333,1.7142857142857142,0.0001705263157894737
6,medical,gemini-2.5-flash,zh-CN,Chinese,갑상선 기능 저하증을 확인했습니다.,确诊为甲状腺功能减退症。,19,12,11,11,1.0,1.7272727272727273,1.0909090909090908,8.684210526315788e-05
7,medical,gpt-5.4-mini,en,English,류마티스 관절염 치료를 시작하겠습니다.,Let's start treatment for rheumatoid arthritis.,21,47,13,7,0.5384615384615384,1.6153846153846154,6.714285714285714,0.0004642857142857143
7,medical,deepseek-chat,en,English,류마티스 관절염 치료를 시작하겠습니다.,Let's start treatment for rheumatoid arthritis.,21,47,14,8,0.5714285714285714,1.5,5.875,0.00018
7,medical,gemini-2.5-flash,en,English,류마티스 관절염 치료를 시작하겠습니다.,Let's start treatment for rheumatoid arthritis.,21,47,11,9,0.8181818181818182,1.9090909090909092,5.222222222222222,7.857142857142857e-05
7,medical,gpt-5.4-mini,es,Spanish,류마티스 관절염 치료를 시작하겠습니다.,Comencemos el tratamiento de la artritis reumatoide.,21,52,13,13,1.0,1.6153846153846154,4.0,0.0004642857142857143
7,medical,deepseek-chat,es,Spanish,류마티스 관절염 치료를 시작하겠습니다.,Comencemos el tratamiento de la artritis reumatoide.,21,52,14,14,1.0,1.5,3.7142857142857144,0.00018
7,medical,gemini-2.5-flash,es,Spanish,류마티스 관절염 치료를 시작하겠습니다.,Comencemos el tratamiento de la artritis reumatoide.,21,52,11,13,1.1818181818181819,1.9090909090909092,4.0,7.857142857142857e-05
7,medical,gpt-5.4-mini,zh-CN,Chinese,류마티스 관절염 치료를 시작하겠습니다.,让我们开始治疗类风湿性关节炎。,21,15,13,12,0.9230769230769231,1.6153846153846154,1.25,0.0004642857142857143
7,medical,deepseek-chat,zh-CN,Chinese,류마티스 관절염 치료를 시작하겠습니다.,让我们开始治疗类风湿性关节炎。,21,15,14,8,0.5714285714285714,1.5,1.875,0.00018
7,medical,gemini-2.5-flash,zh-CN,Chinese,류마티스 관절염 치료를 시작하겠습니다.,让我们开始治疗类风湿性关节炎。,21,15,11,10,0.9090909090909091,1.9090909090909092,1.5,7.857142857142857e-05
8,medical,gpt-5.4-mini,en,English,뇌졸중 예방을 위해 항응고제를 처방합니다.,Anticoagulants are prescribed to prevent stroke.,23,48,16,10,0.625,1.4375,4.8,0.0005217391304347827
8,medical,deepseek-chat,en,English,뇌졸중 예방을 위해 항응고제를 처방합니다.,Anticoagulants are prescribed to prevent stroke.,23,48,18,10,0.5555555555555556,1.2777777777777777,4.8,0.000211304347826087
8,medical,gemini-2.5-flash,en,English,뇌졸중 예방을 위해 항응고제를 처방합니다.,Anticoagulants are prescribed to prevent stroke.,23,48,15,10,0.6666666666666666,1.5333333333333334,4.8,9.782608695652173e-05
8,medical,gpt-5.4-mini,es,Spanish,뇌졸중 예방을 위해 항응고제를 처방합니다.,Se recetan anticoagulantes para prevenir un accidente cerebrovascular.,23,70,16,13,0.8125,1.4375,5.384615384615385,0.0005217391304347827
8,medical,deepseek-chat,es,Spanish,뇌졸중 예방을 위해 항응고제를 처방합니다.,Se recetan anticoagulantes para prevenir un accidente cerebrovascular.,23,70,18,14,0.7777777777777778,1.2777777777777777,5.0,0.000211304347826087
8,medical,gemini-2.5-flash,es,Spanish,뇌졸중 예방을 위해 항응고제를 처방합니다.,Se recetan anticoagulantes para prevenir un accidente cerebrovascular.,23,70,15,13,0.8666666666666667,1.5333333333333334,5.384615384615385,9.782608695652173e-05
8,medical,gpt-5.4-mini,zh-CN,Chinese,뇌졸중 예방을 위해 항응고제를 처방합니다.,处方抗凝剂是为了预防中风。,23,13,16,12,0.75,1.4375,1.0833333333333333,0.0005217391304347827
8,medical,deepseek-chat,zh-CN,Chinese,뇌졸중 예방을 위해 항응고제를 처방합니다.,处方抗凝剂是为了预防中风。,23,13,18,8,0.4444444444444444,1.2777777777777777,1.625,0.000211304347826087
8,medical,gemini-2.5-flash,zh-CN,Chinese,뇌졸중 예방을 위해 항응고제를 처방합니다.,处方抗凝剂是为了预防中风。,23,13,15,10,0.6666666666666666,1.5333333333333334,1.3,9.782608695652173e-05
9,medical,gpt-5.4-mini,en,English,백내장 수술 일정을 잡았습니다.,I was scheduled for cataract surgery.,17,37,10,8,0.8,1.7,4.625,0.0004411764705882353
9,medical,deepseek-chat,en,English,백내장 수술 일정을 잡았습니다.,I was scheduled for cataract surgery.,17,37,13,7,0.5384615384615384,1.3076923076923077,5.285714285714286,0.00020647058823529413
9,medical,gemini-2.5-flash,en,English,백내장 수술 일정을 잡았습니다.,I was scheduled for cataract surgery.,17,37,10,7,0.7,1.7,5.285714285714286,8.823529411764706e-05
9,medical,gpt-5.4-mini,es,Spanish,백내장 수술 일정을 잡았습니다.,Me programaron una cirugía de cataratas.,17,40,10,9,0.9,1.7,4.444444444444445,0.0004411764705882353
9,medical,deepseek-chat,es,Spanish,백내장 수술 일정을 잡았습니다.,Me programaron una cirugía de cataratas.,17,40,13,12,0.9230769230769231,1.3076923076923077,3.3333333333333335,0.00020647058823529413
9,medical,gemini-2.5-flash,es,Spanish,백내장 수술 일정을 잡았습니다.,Me programaron una cirugía de cataratas.,17,40,10,10,1.0,1.7,4.0,8.823529411764706e-05
9,medical,gpt-5.4-mini,zh-CN,Chinese,백내장 수술 일정을 잡았습니다.,我被安排进行白内障手术。,17,12,10,10,1.0,1.7,1.2,0.0004411764705882353
9,medical,deepseek-chat,zh-CN,Chinese,백내장 수술 일정을 잡았습니다.,我被安排进行白内障手术。,17,12,13,6,0.46153846153846156,1.3076923076923077,2.0,0.00020647058823529413
9,medical,gemini-2.5-flash,zh-CN,Chinese,백내장 수술 일정을 잡았습니다.,我被安排进行白内障手术。,17,12,10,9,0.9,1.7,1.3333333333333333,8.823529411764706e-05
10,medical,gpt-5.4-mini,en,English,당뇨병성 망막병증이 진행 중입니다.,Diabetic retinopathy is progressing.,19,36,16,8,0.5,1.1875,4.5,0.0006315789473684211
10,medical,deepseek-chat,en,English,당뇨병성 망막병증이 진행 중입니다.,Diabetic retinopathy is progressing.,19,36,16,7,0.4375,1.1875,5.142857142857143,0.0002273684210526316
10,medical,gemini-2.5-flash,en,English,당뇨병성 망막병증이 진행 중입니다.,Diabetic retinopathy is progressing.,19,36,13,6,0.46153846153846156,1.4615384615384615,6.0,0.00010263157894736843
10,medical,gpt-5.4-mini,es,Spanish,당뇨병성 망막병증이 진행 중입니다.,La retinopatía diabética está progresando.,19,42,16,11,0.6875,1.1875,3.8181818181818183,0.0006315789473684211
10,medical,deepseek-chat,es,Spanish,당뇨병성 망막병증이 진행 중입니다.,La retinopatía diabética está progresando.,19,42,16,10,0.625,1.1875,4.2,0.0002273684210526316
10,medical,gemini-2.5-flash,es,Spanish,당뇨병성 망막병증이 진행 중입니다.,La retinopatía diabética está progresando.,19,42,13,10,0.7692307692307693,1.4615384615384615,4.2,0.00010263157894736843
10,medical,gpt-5.4-mini,zh-CN,Chinese,당뇨병성 망막병증이 진행 중입니다.,糖尿病视网膜病变正在进展。,19,13,16,12,0.75,1.1875,1.0833333333333333,0.0006315789473684211
10,medical,deepseek-chat,zh-CN,Chinese,당뇨병성 망막병증이 진행 중입니다.,糖尿病视网膜病变正在进展。,19,13,16,6,0.375,1.1875,2.1666666666666665,0.0002273684210526316
10,medical,gemini-2.5-flash,zh-CN,Chinese,당뇨병성 망막병증이 진행 중입니다.,糖尿病视网膜病变正在进展。,19,13,13,9,0.6923076923076923,1.4615384615384615,1.4444444444444444,0.00010263157894736843
11,medical,gpt-5.4-mini,en,English,신부전으로 인한 투석이 필요합니다.,Kidney failure requires dialysis.,19,33,12,6,0.5,1.5833333333333333,5.5,0.00047368421052631577
11,medical,deepseek-chat,en,English,신부전으로 인한 투석이 필요합니다.,Kidney failure requires dialysis.,19,33,12,6,0.5,1.5833333333333333,5.5,0.0001705263157894737
11,medical,gemini-2.5-flash,en,English,신부전으로 인한 투석이 필요합니다.,Kidney failure requires dialysis.,19,33,11,6,0.5454545454545454,1.7272727272727273,5.5,8.684210526315788e-05
11,medical,gpt-5.4-mini,es,Spanish,신부전으로 인한 투석이 필요합니다.,La insuficiencia renal requiere diálisis.,19,41,12,9,0.75,1.5833333333333333,4.555555555555555,0.00047368421052631577
11,medical,deepseek-chat,es,Spanish,신부전으로 인한 투석이 필요합니다.,La insuficiencia renal requiere diálisis.,19,41,12,11,0.9166666666666666,1.5833333333333333,3.727272727272727,0.0001705263157894737
11,medical,gemini-2.5-flash,es,Spanish,신부전으로 인한 투석이 필요합니다.,La insuficiencia renal requiere diálisis.,19,41,11,8,0.7272727272727273,1.7272727272727273,5.125,8.684210526315788e-05
11,medical,gpt-5.4-mini,zh-CN,Chinese,신부전으로 인한 투석이 필요합니다.,肾衰竭需要透析。,19,8,12,10,0.8333333333333334,1.5833333333333333,0.8,0.00047368421052631577
11,medical,deepseek-chat,zh-CN,Chinese,신부전으로 인한 투석이 필요합니다.,肾衰竭需要透析。,19,8,12,5,0.4166666666666667,1.5833333333333333,1.6,0.0001705263157894737
11,medical,gemini-2.5-flash,zh-CN,Chinese,신부전으로 인한 투석이 필요합니다.,肾衰竭需要透析。,19,8,11,7,0.6363636363636364,1.7272727272727273,1.1428571428571428,8.684210526315788e-05
12,medical,gpt-5.4-mini,en,English,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Take calcium supplements to prevent osteoporosis.,26,49,18,7,0.3888888888888889,1.4444444444444444,7.0,0.0005192307692307691
12,medical,deepseek-chat,en,English,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Take calcium supplements to prevent osteoporosis.,26,49,22,7,0.3181818181818182,1.1818181818181819,7.0,0.0002284615384615385
12,medical,gemini-2.5-flash,en,English,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Take calcium supplements to prevent osteoporosis.,26,49,17,7,0.4117647058823529,1.5294117647058822,7.0,9.807692307692307e-05
12,medical,gpt-5.4-mini,es,Spanish,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Tome suplementos de calcio para prevenir la osteoporosis.,26,57,18,10,0.5555555555555556,1.4444444444444444,5.7,0.0005192307692307691
12,medical,deepseek-chat,es,Spanish,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Tome suplementos de calcio para prevenir la osteoporosis.,26,57,22,13,0.5909090909090909,1.1818181818181819,4.384615384615385,0.0002284615384615385
12,medical,gemini-2.5-flash,es,Spanish,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,Tome suplementos de calcio para prevenir la osteoporosis.,26,57,17,11,0.6470588235294118,1.5294117647058822,5.181818181818182,9.807692307692307e-05
12,medical,gpt-5.4-mini,zh-CN,Chinese,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,服用钙补充剂以预防骨质疏松症。,26,15,18,17,0.9444444444444444,1.4444444444444444,0.8823529411764706,0.0005192307692307691
12,medical,deepseek-chat,zh-CN,Chinese,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,服用钙补充剂以预防骨质疏松症。,26,15,22,9,0.4090909090909091,1.1818181818181819,1.6666666666666667,0.0002284615384615385
12,medical,gemini-2.5-flash,zh-CN,Chinese,골다공증 예방을 위해 칼슘 보충제를 복용하세요.,服用钙补充剂以预防骨质疏松症。,26,15,17,12,0.7058823529411765,1.5294117647058822,1.25,9.807692307692307e-05
13,medical,gpt-5.4-mini,en,English,대장 내시경 검사를 예약했습니다.,I made an appointment for a colonoscopy.,18,40,10,9,0.9,1.8,4.444444444444445,0.00041666666666666664
13,medical,deepseek-chat,en,English,대장 내시경 검사를 예약했습니다.,I made an appointment for a colonoscopy.,18,40,11,9,0.8181818181818182,1.6363636363636365,4.444444444444445,0.00016500000000000003
13,medical,gemini-2.5-flash,en,English,대장 내시경 검사를 예약했습니다.,I made an appointment for a colonoscopy.,18,40,10,9,0.9,1.8,4.444444444444445,8.333333333333333e-05
13,medical,gpt-5.4-mini,es,Spanish,대장 내시경 검사를 예약했습니다.,Hice cita para una colonoscopia.,18,32,10,9,0.9,1.8,3.5555555555555554,0.00041666666666666664
13,medical,deepseek-chat,es,Spanish,대장 내시경 검사를 예약했습니다.,Hice cita para una colonoscopia.,18,32,11,10,0.9090909090909091,1.6363636363636365,3.2,0.00016500000000000003
13,medical,gemini-2.5-flash,es,Spanish,대장 내시경 검사를 예약했습니다.,Hice cita para una colonoscopia.,18,32,10,9,0.9,1.8,3.5555555555555554,8.333333333333333e-05
13,medical,gpt-5.4-mini,zh-CN,Chinese,대장 내시경 검사를 예약했습니다.,我预约了结肠镜检查。,18,10,10,9,0.9,1.8,1.1111111111111112,0.00041666666666666664
13,medical,deepseek-chat,zh-CN,Chinese,대장 내시경 검사를 예약했습니다.,我预约了结肠镜检查。,18,10,11,6,0.5454545454545454,1.6363636363636365,1.6666666666666667,0.00016500000000000003
13,medical,gemini-2.5-flash,zh-CN,Chinese,대장 내시경 검사를 예약했습니다.,我预约了结肠镜检查。,18,10,10,8,0.8,1.8,1.25,8.333333333333333e-05
14,medical,gpt-5.4-mini,en,English,담낭 제거 수술을 권장합니다.,Surgery to remove the gallbladder is recommended.,16,49,11,11,1.0,1.4545454545454546,4.454545454545454,0.000515625
14,medical,deepseek-chat,en,English,담낭 제거 수술을 권장합니다.,Surgery to remove the gallbladder is recommended.,16,49,12,9,0.75,1.3333333333333333,5.444444444444445,0.0002025
14,medical,gemini-2.5-flash,en,English,담낭 제거 수술을 권장합니다.,Surgery to remove the gallbladder is recommended.,16,49,10,8,0.8,1.6,6.125,9.375e-05
14,medical,gpt-5.4-mini,es,Spanish,담낭 제거 수술을 권장합니다.,Se recomienda la cirugía de extirpación de la vesícula biliar.,16,62,11,15,1.3636363636363635,1.4545454545454546,4.133333333333334,0.000515625
14,medical,deepseek-chat,es,Spanish,담낭 제거 수술을 권장합니다.,Se recomienda la cirugía de extirpación de la vesícula biliar.,16,62,12,19,1.5833333333333333,1.3333333333333333,3.263157894736842,0.0002025
14,medical,gemini-2.5-flash,es,Spanish,담낭 제거 수술을 권장합니다.,Se recomienda la cirugía de extirpación de la vesícula biliar.,16,62,10,15,1.5,1.6,4.133333333333334,9.375e-05
14,medical,gpt-5.4-mini,zh-CN,Chinese,담낭 제거 수술을 권장합니다.,建议手术切除胆囊。,16,9,11,9,0.8181818181818182,1.4545454545454546,1.0,0.000515625
14,medical,deepseek-chat,zh-CN,Chinese,담낭 제거 수술을 권장합니다.,建议手术切除胆囊。,16,9,12,5,0.4166666666666667,1.3333333333333333,1.8,0.0002025
14,medical,gemini-2.5-flash,zh-CN,Chinese,담낭 제거 수술을 권장합니다.,建议手术切除胆囊。,16,9,10,7,0.7,1.6,1.2857142857142858,9.375e-05
15,medical,gpt-5.4-mini,en,English,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Chronic obstructive pulmonary disease symptoms have worsened.,23,61,14,11,0.7857142857142857,1.6428571428571428,5.545454545454546,0.00045652173913043485
15,medical,deepseek-chat,en,English,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Chronic obstructive pulmonary disease symptoms have worsened.,23,61,21,8,0.38095238095238093,1.0952380952380953,7.625,0.0002465217391304348
15,medical,gemini-2.5-flash,en,English,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Chronic obstructive pulmonary disease symptoms have worsened.,23,61,14,8,0.5714285714285714,1.6428571428571428,7.625,9.130434782608696e-05
15,medical,gpt-5.4-mini,es,Spanish,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Los síntomas de la enfermedad pulmonar obstructiva crónica han empeorado.,23,73,14,15,1.0714285714285714,1.6428571428571428,4.866666666666666,0.00045652173913043485
15,medical,deepseek-chat,es,Spanish,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Los síntomas de la enfermedad pulmonar obstructiva crónica han empeorado.,23,73,21,18,0.8571428571428571,1.0952380952380953,4.055555555555555,0.0002465217391304348
15,medical,gemini-2.5-flash,es,Spanish,만성 폐쇄성 폐질환 증상이 악화되었습니다.,Los síntomas de la enfermedad pulmonar obstructiva crónica han empeorado.,23,73,14,14,1.0,1.6428571428571428,5.214285714285714,9.130434782608696e-05
15,medical,gpt-5.4-mini,zh-CN,Chinese,만성 폐쇄성 폐질환 증상이 악화되었습니다.,慢性阻塞性肺疾病症状恶化。,23,13,14,12,0.8571428571428571,1.6428571428571428,1.0833333333333333,0.00045652173913043485
15,medical,deepseek-chat,zh-CN,Chinese,만성 폐쇄성 폐질환 증상이 악화되었습니다.,慢性阻塞性肺疾病症状恶化。,23,13,21,8,0.38095238095238093,1.0952380952380953,1.625,0.0002465217391304348
15,medical,gemini-2.5-flash,zh-CN,Chinese,만성 폐쇄성 폐질환 증상이 악화되었습니다.,慢性阻塞性肺疾病症状恶化。,23,13,14,9,0.6428571428571429,1.6428571428571428,1.4444444444444444,9.130434782608696e-05
16,medical,gpt-5.4-mini,en,English,알레르기 반응으로 에피네프린을 투여했습니다.,Epinephrine was given for allergic reaction.,24,44,17,9,0.5294117647058824,1.411764705882353,4.888888888888889,0.00053125
16,medical,deepseek-chat,en,English,알레르기 반응으로 에피네프린을 투여했습니다.,Epinephrine was given for allergic reaction.,24,44,18,8,0.4444444444444444,1.3333333333333333,5.5,0.0002025
16,medical,gemini-2.5-flash,en,English,알레르기 반응으로 에피네프린을 투여했습니다.,Epinephrine was given for allergic reaction.,24,44,16,8,0.5,1.5,5.5,9.999999999999999e-05
